phi3 		phi8 		V[GeV^4]
-0.5		0.14434	-4.74216E-5
-0.5		0.28868	3.58485E-4
-0.5		0.43301	9.40392E-6
-0.5		0.57735	-5.29742E-4
-0.5		0.72169	6.77358E-7
-0.5		0.86603	3.41062E-4
-0.5		1.01036	-7.34842E-5
-0.5		1.1547	-3.13014E-4
-0.5		1.29904	-9.04688E-5
-0.5		1.44338	3.07151E-4
-0.5		1.58771	-5.00417E-5
-0.5		1.73205	-4.75701E-4
-0.41667	-1.73205	-4.01018E-4
-0.41667	-1.58771	-8.59569E-5
-0.41667	-1.44338	1.72152E-4
-0.41667	-1.29904	-1.35097E-4
-0.41667	-1.1547	-4.47179E-4
-0.41667	-1.01036	-1.18077E-4
-0.41667	-0.86603	2.06134E-4
-0.41667	-0.72169	-3.51303E-5
-0.41667	-0.57735	-4.54915E-4
-0.41667	-0.43301	-2.63859E-5
-0.41667	-0.28868	2.23594E-4
-0.41667	-0.14434	-9.19607E-5
-0.41667	0		-4.12494E-4
-0.41667	0.14434	-9.19607E-5
-0.41667	0.28868	2.23594E-4
-0.41667	0.43301	-2.63859E-5
-0.41667	0.57735	-4.54915E-4
-0.41667	0.72169	-3.51303E-5
-0.41667	0.86603	2.06134E-4
-0.41667	1.01036	-1.18077E-4
-0.41667	1.1547	-4.47179E-4
-0.41667	1.29904	-1.35097E-4
-0.41667	1.44338	1.72152E-4
-0.41667	1.58771	-8.59569E-5
-0.41667	1.73205	-4.01018E-4
-0.33333	-1.73205	-3.8535E-4
-0.33333	-1.58771	-1.83667E-4
-0.33333	-1.44338	-1.31727E-4
-0.33333	-1.29904	-2.36433E-4
-0.33333	-1.1547	-5.89958E-4
-0.33333	-1.01036	-2.19383E-4
-0.33333	-0.86603	-9.76866E-5
-0.33333	-0.72169	-1.32752E-4
-0.33333	-0.57735	-4.39129E-4
-0.33333	-0.43301	-1.23993E-4
-0.33333	-0.28868	-8.01977E-5
-0.33333	-0.14434	-1.93223E-4
-0.33333	0		-5.55215E-4
-0.33333	0.14434	-1.93223E-4
-0.33333	0.28868	-8.01977E-5
-0.33333	0.43301	-1.23993E-4
-0.33333	0.57735	-4.39129E-4
-0.33333	0.72169	-1.32752E-4
-0.33333	0.86603	-9.76866E-5
-0.33333	1.01036	-2.19383E-4
-0.33333	1.1547	-5.89958E-4
-0.33333	1.29904	-2.36433E-4
-0.33333	1.44338	-1.31727E-4
-0.33333	1.58771	-1.83667E-4
-0.33333	1.73205	-3.8535E-4
-0.25		-1.73205	-3.71314E-4
-0.25		-1.58771	-2.71878E-4
-0.25		-1.44338	-4.29352E-4
-0.25		-1.29904	-3.80753E-4
-0.25		-1.1547	-6.42199E-4
-0.25		-1.01036	-3.6368E-4
-0.25		-0.86603	-3.95266E-4
-0.25		-0.72169	-2.20895E-4
-0.25		-0.57735	-4.25002E-4
-0.25		-0.43301	-2.12125E-4
-0.25		-0.28868	-3.77754E-4
-0.25		-0.14434	-3.37486E-4
-0.25		0		-6.0741E-4
-0.25		0.14434	-3.37486E-4
-0.25		0.28868	-3.77754E-4
-0.25		0.43301	-2.12125E-4
-0.25		0.57735	-4.25002E-4
-0.25		0.72169	-2.20895E-4
-0.25		0.86603	-3.95266E-4
-0.25		1.01036	-3.6368E-4
-0.25		1.1547	-6.42199E-4
-0.25		1.29904	-3.80753E-4
-0.25		1.44338	-4.29352E-4
-0.25		1.58771	-2.71878E-4
-0.25		1.73205	-3.71314E-4
-0.16667	-1.73205	-2.77548E-4
-0.16667	-1.58771	-2.58652E-4
-0.16667	-1.44338	-5.89681E-4
-0.16667	-1.29904	-5.20306E-4
-0.16667	-1.1547	-4.99575E-4
-0.16667	-1.01036	-5.03218E-4
-0.16667	-0.86603	-5.55562E-4
-0.16667	-0.72169	-2.0762E-4
-0.16667	-0.57735	-3.31171E-4
-0.16667	-0.43301	-1.98841E-4
-0.16667	-0.28868	-5.38034E-4
-0.16667	-0.14434	-4.76999E-4
-0.16667	0		-4.64753E-4
-0.16667	0.14434	-4.76999E-4
-0.16667	0.28868	-5.38034E-4
-0.16667	0.43301	-1.98841E-4
-0.16667	0.57735	-3.31171E-4
-0.16667	0.72169	-2.0762E-4
-0.16667	0.86603	-5.55562E-4
-0.16667	1.01036	-5.03218E-4
-0.16667	1.1547	-4.99575E-4
-0.16667	1.29904	-5.20306E-4
-0.16667	1.44338	-5.89681E-4
-0.16667	1.58771	-2.58652E-4
-0.16667	1.73205	-2.77548E-4
-0.08333	-1.73205	-4.53197E-5
-0.08333	-1.58771	-7.7746E-5
-0.08333	-1.44338	-5.22169E-4
-0.08333	-1.29904	-4.94247E-4
-0.08333	-1.1547	-1.16125E-4
-0.08333	-1.01036	-4.77149E-4
-0.08333	-0.86603	-4.8803E-4
-0.08333	-0.72169	-2.66847E-5
-0.08333	-0.57735	-9.89034E-5
-0.08333	-0.43301	-1.79012E-5
-0.08333	-0.28868	-4.70492E-4
-0.08333	-0.14434	-4.50915E-4
-0.08333	0		-8.12838E-5
-0.08333	0.14434	-4.50915E-4
-0.08333	0.28868	-4.70492E-4
-0.08333	0.43301	-1.79012E-5
-0.08333	0.57735	-9.89034E-5
-0.08333	0.72169	-2.66847E-5
-0.08333	0.86603	-4.8803E-4
-0.08333	1.01036	-4.77149E-4
-0.08333	1.1547	-1.16125E-4
-0.08333	1.29904	-4.94247E-4
-0.08333	1.44338	-5.22169E-4
